id,pub_id,assigned,assigned_to,asssigned_timestamp
2965,PMC5302073,1,henryrossiter,2018-02-18 19:47:57
2966,PMC4574835,1,evelynkue,2018-02-18 22:10:49
2967,PMC3184742,1,henryrossiter,2018-02-19 17:24:14
2968,PMC5372150,1,tonyli0409,2018-02-19 19:12:21
2969,PMC3212666,1,tonyli0409,2018-02-19 19:19:26
2970,PMC3733301,1,tonyli0409,2018-02-19 19:19:46
2971,PMC3809360,1,tonyli0409,2018-02-19 19:19:47
2972,PMC4388098,1,tonyli0409,2018-02-19 19:19:48
2973,PMC3939326,1,tonyli0409,2018-02-19 19:19:49
2974,PMC5426865,1,tonyli0409,2018-02-19 19:47:40
2975,PMC4025139,1,tonyli0409,2018-02-19 19:47:41
2976,PMC3007589,1,henryrossiter,2018-02-19 19:51:41
2977,PMC4644610,1,yashkar,2018-02-19 23:43:54
2978,PMC5419227,1,yashkar,2018-02-19 23:45:29
2979,PMC4371439,1,yashkar,2018-02-19 23:45:43
2980,PMC2827497,1,yashkar,2018-02-19 23:45:58
2981,PMC4501418,1,yashkar,2018-02-19 23:46:05
2982,PMC5440634,1,yashkar,2018-02-19 23:46:13
2983,PMC4689827,1,ankimnguyen,2018-02-20 11:32:21
2984,PMC4513598,1,henryrossiter,2018-02-20 14:23:15
2985,PMC2806324,1,henryrossiter,2018-02-20 14:35:07
2986,PMC5321344,1,evelynkue,2018-02-21 00:06:57
2987,PMC3710919,1,henryrossiter,2018-02-21 16:04:17
2988,PMC3061076,1,henryrossiter,2018-02-21 20:09:23
2989,PMC4719240,1,henryrossiter,2018-02-21 20:22:38
2990,PMC2808884,1,henryrossiter,2018-02-21 20:29:17
2991,PMC3308275,1,carsonbrown19,2018-02-21 22:39:19
2992,PMC3072005,1,evelynkue,2018-02-22 00:42:46
2993,PMC4548766,1,ankimnguyen,2018-02-22 11:10:42
2994,PMC4410849,1,ankimnguyen,2018-02-22 11:36:13
2995,PMC2965247,1,jackchristen,2018-02-22 11:57:22
2996,PMC3201215,1,henryrossiter,2018-02-22 12:24:34
2997,PMC4543188,1,henryrossiter,2018-02-22 12:29:42
2998,PMC4857864,1,henryrossiter,2018-02-22 12:57:27
2999,PMC4738122,1,carsonbrown19,2018-02-22 14:02:29
3000,PMC5454447,1,carsonbrown19,2018-02-22 14:05:03
3001,PMC3249279,1,carsonbrown19,2018-02-22 14:07:15
3002,PMC4027710,1,carsonbrown19,2018-02-22 14:10:24
3003,PMC4898072,1,carsonbrown19,2018-02-22 14:14:34
3004,PMC4251217,1,carsonbrown19,2018-02-22 14:16:16
3005,PMC5288459,1,carsonbrown19,2018-02-22 14:22:54
3006,PMC3583358,1,carsonbrown19,2018-02-22 14:26:04
3007,PMC3297030,1,evelynkue,2018-02-22 14:29:50
3008,PMC5207597,1,carsonbrown19,2018-02-22 14:31:32
3009,PMC4748904,1,henryrossiter,2018-02-22 14:33:24
3010,PMC5400486,1,henryrossiter,2018-02-22 15:04:25
3011,PMC3371588,1,henryrossiter,2018-02-22 15:28:27
3012,PMC4750607,1,courtneybroderick,2018-02-22 15:46:00
3013,PMC3032512,1,courtneybroderick,2018-02-22 16:01:25
3014,PMC4775480,1,jackchristen,2018-02-22 16:40:30
3015,PMC3204054,1,jackchristen,2018-02-22 22:24:32
3016,PMC4946456,1,evelynkue,2018-02-23 00:42:09
3017,PMC5406088,1,joelabraham1995,2018-02-23 10:12:47
3018,PMC4665088,1,shruti2611,2018-02-23 10:14:51
3019,PMC3915349,1,tonyli0409,2018-02-23 10:16:36
3020,PMC4843082,1,shahidhn,2018-02-23 10:20:07
3021,PMC2831195,1,jackchristen,2018-02-23 10:23:12
3022,PMC5435595,1,mprabhudesai,2018-02-23 10:26:05
3023,PMC4564716,1,shruti2611,2018-02-23 10:26:32
3024,PMC2896140,1,shahidhn,2018-02-23 10:26:40
3025,PMC4809187,1,neildabholkar,2018-02-23 10:27:12
3026,PMC5363294,1,tonyli0409,2018-02-23 10:36:12
3027,PMC3225968,1,ankimnguyen,2018-02-23 10:37:50
3028,PMC3079192,1,tonyli0409,2018-02-23 10:44:25
